ID;Id_Type;Id_Parent;hierarchy;topic_fr;topic_en;definition_fr;definition_en;Reference;available_EAU;available_Morocco
5222;65346788;5186;001.028.001.057.001.034;Aeonium rubrolineatum Svent.;Aeonium rubrolineatum Svent.;Aeonium rubrolineatum Svent.;Aeonium rubrolineatum Svent.;NULL;0;1
5223;65346788;5186;001.028.001.057.001.035;Aeonium saundersii Bolle;Aeonium saundersii Bolle;Aeonium saundersii Bolle;Aeonium saundersii Bolle;NULL;0;1
5224;65346788;5186;001.028.001.057.001.036;Aeonium sedifolium (Bolle) Pit. & Proust;Aeonium sedifolium (Bolle) Pit. & Proust;Aeonium sedifolium (Bolle) Pit. & Proust;Aeonium sedifolium (Bolle) Pit. & Proust;NULL;0;1
5225;65346788;5186;001.028.001.057.001.037;Aeonium simsii (Sw.) Stearn;Aeonium simsii (Sw.) Stearn;Aeonium simsii (Sw.) Stearn;Aeonium simsii (Sw.) Stearn;NULL;0;1
5226;65346788;5186;001.028.001.057.001.038;Aeonium smithii (Sims) Webb & Berthel.;Aeonium smithii (Sims) Webb & Berthel.;Aeonium smithii (Sims) Webb & Berthel.;Aeonium smithii (Sims) Webb & Berthel.;NULL;0;1
5227;65346788;5186;001.028.001.057.001.039;Aeonium spathulatum (Hornem.) Praeger;Aeonium spathulatum (Hornem.) Praeger;Aeonium spathulatum (Hornem.) Praeger;Aeonium spathulatum (Hornem.) Praeger;NULL;0;1
5228;65346788;5186;001.028.001.057.001.040;Aeonium subplanum Praeger;Aeonium subplanum Praeger;Aeonium subplanum Praeger;Aeonium subplanum Praeger;NULL;0;1
5229;65346788;5186;001.028.001.057.001.041;Aeonium tabulaeforme (Haw.) Webb & Berthel.;Aeonium tabulaeforme (Haw.) Webb & Berthel.;Aeonium tabulaeforme (Haw.) Webb & Berthel.;Aeonium tabulaeforme (Haw.) Webb & Berthel.;NULL;0;1
5230;65346788;5186;001.028.001.057.001.042;Aeonium undulatum Webb & Berthel.;Aeonium undulatum Webb & Berthel.;Aeonium undulatum Webb & Berthel.;Aeonium undulatum Webb & Berthel.;NULL;0;1
5231;65346788;5186;001.028.001.057.001.043;Aeonium urbicum (Hornem.) Webb & Berthel.;Aeonium urbicum (Hornem.) Webb & Berthel.;Aeonium urbicum (Hornem.) Webb & Berthel.;Aeonium urbicum (Hornem.) Webb & Berthel.;NULL;0;1
5232;65346788;5186;001.028.001.057.001.044;Aeonium valverdense (Praeger) Praeger;Aeonium valverdense (Praeger) Praeger;Aeonium valverdense (Praeger) Praeger;Aeonium valverdense (Praeger) Praeger;NULL;0;1
5233;65346788;5186;001.028.001.057.001.045;Aeonium vestitum Svent.;Aeonium vestitum Svent.;Aeonium vestitum Svent.;Aeonium vestitum Svent.;NULL;0;1
5234;65346788;5186;001.028.001.057.001.046;Aeonium virgineum H.Christ;Aeonium virgineum H.Christ;Aeonium virgineum H.Christ;Aeonium virgineum H.Christ;NULL;0;1
5235;65346788;5186;001.028.001.057.001.047;Aeonium viscatum Bolle;Aeonium viscatum Bolle;Aeonium viscatum Bolle;Aeonium viscatum Bolle;NULL;0;1
5236;65346788;5186;001.028.001.057.001.048;Aeonium x castellodecorum Bañares;Aeonium x castellodecorum Bañares;Aeonium x castellodecorum Bañares;Aeonium x castellodecorum Bañares;NULL;0;1
5237;65346788;5185;001.028.001.057.002;Aichryson Webb & Berthel.;Aichryson Webb & Berthel.;Aichryson Webb & Berthel.;Aichryson Webb & Berthel.;NULL;0;1
5238;65346788;5237;001.028.001.057.002.001;Aichryson bethencourtianum Bolle;Aichryson bethencourtianum Bolle;Aichryson bethencourtianum Bolle;Aichryson bethencourtianum Bolle;NULL;0;1
5239;65346788;5237;001.028.001.057.002.002;Aichryson bollei Bolle;Aichryson bollei Bolle;Aichryson bollei Bolle;Aichryson bollei Bolle;NULL;0;1
5240;65346788;5237;001.028.001.057.002.003;Aichryson brevipetalum Praeger;Aichryson brevipetalum Praeger;Aichryson brevipetalum Praeger;Aichryson brevipetalum Praeger;NULL;0;1
5241;65346788;5237;001.028.001.057.002.004;Aichryson dichotomum Webb & Berthel.;Aichryson dichotomum Webb & Berthel.;Aichryson dichotomum Webb & Berthel.;Aichryson dichotomum Webb & Berthel.;NULL;0;1
5242;65346788;5237;001.028.001.057.002.005;Aichryson divaricatum (Aiton) Praeger;Aichryson divaricatum (Aiton) Praeger;Aichryson divaricatum (Aiton) Praeger;Aichryson divaricatum (Aiton) Praeger;NULL;0;1
5243;65346788;5237;001.028.001.057.002.006;Aichryson dumosum (Lowe) Praeger;Aichryson dumosum (Lowe) Praeger;Aichryson dumosum (Lowe) Praeger;Aichryson dumosum (Lowe) Praeger;NULL;0;1
5244;65346788;5237;001.028.001.057.002.007;Aichryson laxum (Haw.) Bramwell;Aichryson laxum (Haw.) Bramwell;Aichryson laxum (Haw.) Bramwell;Aichryson laxum (Haw.) Bramwell;NULL;0;1
5245;65346788;5237;001.028.001.057.002.008;Aichryson mollii Pit.;Aichryson mollii Pit.;Aichryson mollii Pit.;Aichryson mollii Pit.;NULL;0;1
5246;65346788;5237;001.028.001.057.002.009;Aichryson pachycaulon Bolle;Aichryson pachycaulon Bolle;Aichryson pachycaulon Bolle;Aichryson pachycaulon Bolle;NULL;0;1
5247;65346788;5246;001.028.001.057.002.009.001;Aichryson pachycaulon Bolle subsp. gonzalezhernandezii (Kunkel) Bramwell;Aichryson pachycaulon Bolle subsp. gonzalezhernandezii (Kunkel) Bramwell;Aichryson pachycaulon Bolle subsp. gonzalezhernandezii (Kunkel) Bramwell;Aichryson pachycaulon Bolle subsp. gonzalezhernandezii (Kunkel) Bramwell;NULL;0;1
5248;65346788;5246;001.028.001.057.002.009.002;Aichryson pachycaulon Bolle subsp. immaculatum (Christ) Bramwell;Aichryson pachycaulon Bolle subsp. immaculatum (Christ) Bramwell;Aichryson pachycaulon Bolle subsp. immaculatum (Christ) Bramwell;Aichryson pachycaulon Bolle subsp. immaculatum (Christ) Bramwell;NULL;0;1
