Individual_Obj_PK;id1@Thes_Status_Precision;id5@TCarac_Transmitter_Frequency;id9@TCarac_Release_Ring_Code;id12@TCarac_Breeding_Ring_Code;id13@TCarac_Chip_Code
16840;monitored;219793;;U09M00640;0006CA07FF
16841;dead;219829;;U09M00680;0006D0C70F
16842;lost;219893;;U09M00559;0006D0C777
16843;dead;219924;;U09M00759;0006C999EB
16844;dead;219950;;U09M00690;0006C9F2AD
18788;dead;214372;;U09M05017;0006DF0891
18790;dead;218094;;U09M06296;0006DEA47D
18794;dead;218680;;U09M07884;0006DF36C5
18795;monitored;215801;;U09M07890;0006F3D34E
18801;dead;215431;;U09M07969;0006F1F7C4
18805;dead;214482;;U09M08043;0006E77D7F
18841;dead;214102;;U09M08121;0006DE9743
18869;lost;214291;;U09M08163;0006F1E448
18918;dead;214982;;U09M08280;0006E77350
18930;dead;215211;;U09M08304;0006F3CDD8
18932;dead;215262;;U09M08311;0006DE7993
18933;dead;214173;;U09M08314;0006DF38BF
18935;dead;215312;;U09M08317;0006E769AC
18937;dead;215382;;U09M08319;0006DF1A95
18939;dead;215411;;U09M08321;0006DF3F9D
18944;dead;214202;;U09M08330;0006F20928
18946;dead;217070;;U09M08333;0006DE67E8
18952;dead;215301;;U09M08342;0006DF2EF9
18956;dead;214349;;U09M08350;0006E75831
18960;lost;215454;;U09M08355;0006E75BA5
18973;dead;214082;;U09M08469;0006E75FAA
18976;dead;215101;;U09M08495;0006DE6A0B
18993;dead;214942;;U09M08571;0006F3CCDE
18994;dead;215531;;U09M08572;0006F1F960
18997;dead;214934;;U09M08576;0006EE4B2D
19001;dead;214071;;U09M08580;0006E76BF1
19007;dead;215172;;U09M08590;0006E7736F
19009;dead;215442;;U09M08592;0006F204B2
19010;dead;215490;;U09M08594;0006F1FB77
19019;lost;215181;;U09M08606;0006F3CE65
19264;dead;215931;;U09M08265;0006E7D922
19265;dead;215301;;U09M08309;0006F3EBDE
19266;dead;219270;;U09M08335;0006E75977
19268;dead;215211;;U09M08616;0006F356E4
19272;dead;217859;;U09M09179;0006F2A423
19274;dead;218291;;U09M09256;0006E7FAB2
19282;dead;218650;;U09M09398;0006DF1E6A
19285;dead;219352;;U09M09523;0006E7DD42
19289;dead;215531;;U09M09577;0006E82D9F
19295;monitored;218459;;U09M09714;0006E7A3EF
19296;dead;217757;;U09M09719;0006F3F3B4
19301;dead;214982;;U09M09762;0006F357F5
19308;dead;215431;;U09M09847;0006E76BB5
19310;dead;219780;;U09M10062;0006F217FA
19311;lost;217931;;U09M10070;0006E7B495
19313;lost;215411;;U09M10081;0006F2AA75
19315;dead;218493;;U09M10087;0006E76CDD
19319;dead;219667;;U09M10122;0006E7E32F
19330;dead;218642;;U09M10256;0006E7DE53
19336;dead;214482;;U09M10303;0006F2B0D2
19343;dead;215342;;U09M10370;0006EE4A18
19345;dead;219611;;U09M10385;0006F3ED4D
19348;dead;214162;;U09M10424;0006F2C77D
19357;lost;215551;;U09M10586;0006E81F15
19360;dead;215622;;U09M10611;0006E820AF
19361;finish;214942;;U09M10616;0006E7B40F
19366;lost;214349;;U09M11149;0006E7B276
19369;dead;214372;;U09M11249;0006F37315
19392;dead;217070;;U09M11331;0006F3C9B4
19393;dead;218371;;U09M11332;0006E76EE7
19447;dead;219064;;U09M13060;0006F3DBC4
19471;lost;218200;;U09M13585;0006DE6E84
19473;lost;218853;;U09M13598;0006F3EF73
19477;lost;214173;;U09M13706;0006F1EB39
